rank,name,About,City,State,Graduation Rate,College Readiness,Enrollment 9-12,Math Proficiency,Student-Teacher Ratio,Reading Proficiency,STEM Index
11,Whitney High School,"Gretchen Whitney High School offers a variety of honors and Advanced Placement courses, including computer science, physics and foreign language. Students can earn extra weight in the University of California admissions index via successful completion of certain honors and AP courses. Admission to Whitney High School is selective and is based on state and district assessments and class rank. Parent involvement at Whitney High includes conferences, field trip participation and fundraising opportunities.",Cerritos,CA,99.4,99.112,684,99.0,26.0,100.0,92.55213814
12,Science Academy Stem Magnet,Science Academy Stem Magnet is ranked third within California. Students have the opportunity to take Advanced Placement&#174,North Hollywood,CA,100.0,100.0,183,97.0,24.0,100.0,81.25
13,International Academy of Macomb,"The&nbsp;International Academy of Macomb is a magnet school that offers an International Baccalaureate curriculum. As underclassmen, students will take classes meant to prepare them for the IB courses they&#39;ll take as juniors. Those who fulfill the IB program&#39;s requirements can earn an IB diploma. On top of their coursework, students can take part in activities like student council, pep band, Harry Potter Alliance and soccer club.&nbsp;To apply, incoming freshmen must pass the IAM placement test, submit academic records and a recommendation from their middle school, and provide their state standardized test scores.&nbsp;",Clinton Twp,MI,,98.529,446,84.0,69.0,97.0,
14,Thomas Jefferson High School for Science and Technology,"Thomas Jefferson High School for Science and Technology uses a STEM-focused curriculum that culminates with a technical lab project for seniors. The school offers courses like DNA science, advanced marine biology, automation and robotics, architectural drawing and design, research statistics and AP calculus. TJHSST boasts 15 specialized research labs, ranging from astronomy and astrophysics to oceanography and geophysical systems. Extracurricular activities at Thomas Jefferson High School for Science and Technology include clubs like orchestra and swing dance, publications like Teknos, the school&#39;s own science, technology and math journal, and a multitude of athletic teams.",Alexandria,VA,100.0,99.778,1967,100.0,17.0,100.0,95.58241112
15,Haas Hall Bentonville,"Haas Hall Bentonville is ranked first within Arkansas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Haas Hall Bentonville is 100%. The total minority enrollment is 49%, and 4% of students are economically disadvantaged. Haas Hall Bentonville is 1 of 4 high schools in the Haas Hall Academy.",Bentonville,AR,95.0,94.0,248,80.0,16.0,95.0,53.61352357
16,The Early College at Guilford,"At The Early College at Guilford, high school students can graduate with two years of college credit from Guilford College, a private liberal arts institution. Because of this partnership, the curriculum is writing intensive, and students in the ninth and 10th grade take honors and Advanced Placement courses. Students in 11th and 12th grade take college courses with undergraduates taught by college professors, including organic chemistry, linear algebra, modern art, health economics and more. Service learning is encouraged, and students can start clubs and organizations. The Early College at Guilford does not have athletic teams, but students can join teams in their attendance zone.",Greensboro,NC,95.0,97.826,195,,23.0,100.0,95.83333333
17,BASIS Oro Valley,"BASIS Oro Valley is a charter school that serves sixth through 12th graders. It&#39;s part of a charter school network with locations across the country.&nbsp;Its students are required to start taking Advanced Placement classes and exams in ninth grade. By senior year, students can participate in BASIS&rsquo; Capstone program, through which they take seminar-style classes for two-thirds of the year and can propose an off-campus research project for the last trimester. Students can join the chess club, band and hiking club.&nbsp;",Oro Valley,AZ,,100.0,244,,,,77.46040724
18,Pine View School,"The curriculum at Pine View School mixes traditional classroom learning with independent study, mini-courses and ungraded classes. Pine View School places a strong emphasis on parent involvement through volunteering and fundraising opportunities, open houses, newsletters and field trips. Students must maintain a minimum grade point average and complete advanced foreign language courses to graduate. Extracurricular activities at Pine View include drama club, Model United Nations and National Honor Society.",Osprey,FL,99.53052,100.0,695,100.0,16.0,99.0,87.20532761
19,Central Magnet School,Central Magnet School is ranked first within Tennessee. Students have the opportunity to take Advanced Placement&#174,Murfreesboro,TN,,100.0,787,,17.0,98.0,81.4108062
20,Albuquerque Institute of Math and Science,"Albuquerque Institute of Math and Science is ranked first within New Mexico. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Albuquerque Institute of Math and Science is 100%. The total minority enrollment is 74%, and 8% of students are economically disadvantaged. Albuquerque Institute of Math and Science is the only high school in the Albuquerque Institute of Math & Science.",Albuquerque,NM,90.0,92.742,162,97.0,18.0,97.0,
21,Loveless Academic Magnet Program High School,"Loveless Academic Magnet Program High School places a strong emphasis on parent engagement through newsletters, conferences, volunteering and fundraising opportunities. The school&rsquo;s curriculum includes the&nbsp;International Baccalaureate program with a variety of Advanced Placement courses, as well as competitive academic groups such as Scholars Bowl and Science Olympiad. Extracurricular activities at Loveless Academic Magnet Program include glee club and the forensics club, among others. Admission to LAMP is selective and based on proven academic excellence.",Montgomery,AL,,90.051,464,96.0,17.0,100.0,62.60413315
22,Oxford Academy,"Oxford Academy runs an intensive honors curriculum that requires students to take a minimum of four Advanced Placement courses to graduate. Ninth- and 10th-grade students can choose from four career pathways to supplement their core courses: biomedical science, engineering, business/entrepreneurship, and software systems and development.&nbsp;Oxford Academy boasts a culturally diverse student body, with many students coming from homes where English is the second language. Student groups include National Honor Society and the OA Fiddlers.",Cypress,CA,99.5,97.959,821,92.0,25.0,97.0,80.01180394
23,Irma Lerma Rangel Young Women's Leadership School,"Irma Lerma Rangel Young Women's Leadership School is ranked second within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Irma Lerma Rangel Young Women's Leadership School is 100%. The total minority enrollment is 94%, and 71% of students are economically disadvantaged. Irma Lerma Rangel Young Women's Leadership School is 1 of 39 high schools in the Dallas Independent School District.",Dallas,TX,100.0,92.5,302,98.0,18.0,100.0,35.02162033
24,High Technology High School,"High Technology High School&rsquo;s curriculum is engineering-centric, with courses in civil engineering and architecture, computer-integrated manufacturing and digital electronics. Students at High Technology High School can earn college credit for core coursework through partnerships with Rochester Institute of Technology,&nbsp;Georgian Court University and Brookdale Community College. The school encourages parent involvement through an active Parent Faculty Association, open houses and fundraising opportunities.",Lincroft,NJ,100.0,100.0,285,100.0,13.0,100.0,99.25647498
25,Queens High School for the Sciences at York College,"Queens High School for the Sciences at York College is ranked first within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Queens High School for the Sciences at York College is 100%. The total minority enrollment is 95%, and 65% of students are economically disadvantaged. Queens High School for the Sciences at York College is 1 of 533 high schools in the New York City Public Schools.",Jamaica,NY,100.0,98.185,520,100.0,17.0,100.0,75.19943606
26,Stuyvesant High School,"Stuyvesant High School is ranked second within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Stuyvesant High School is 97%. The total minority enrollment is 82%, and 48% of students are economically disadvantaged. Stuyvesant High School is 1 of 533 high schools in the New York City Public Schools.",New York,NY,99.0,95.284,3334,100.0,20.0,100.0,89.66065093
27,Boston Latin School,Boston Latin School is ranked first within Massachusetts. Students have the opportunity to take Advanced Placement&#174,Boston,MA,98.4,95.699,1627,99.0,19.0,96.0,74.31987398
28,Aiken Scholars Academy,"Aiken Scholars Academy is ranked second within South Carolina. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Aiken Scholars Academy is 100%. The total minority enrollment is 30%, and 16% of students are economically disadvantaged. Aiken Scholars Academy is 1 of 8 high schools in the Aiken 01.",Aiken,SC,100.0,100.0,182,,30.0,100.0,
29,Science and Engineering Magnet School (SEM),"Students at the Science and Engineering Magnet School start Advanced Placement courses their freshman year and can earn college credit via dual-enrollment opportunities with several area community colleges and universities. Located in a complex that houses five other magnet schools, SEM offers AP courses in calculus, biology and statistics, among others. Parents can get involved through fundraising and by hosting college planning nights.",Dallas,TX,99.4,100.0,490,,18.0,98.0,85.89473634
30,Grand Prairie Collegiate Institute,"Grand Prairie Collegiate Institute is ranked fourth within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Grand Prairie Collegiate Institute is 100%. The total minority enrollment is 91%, and 64% of students are economically disadvantaged. Grand Prairie Collegiate Institute is 1 of 7 high schools in the Grand Prairie Independent School District.",Grand Prairie,TX,100.0,96.429,131,94.0,14.0,96.0,39.14285714
31,Carnegie Vanguard High School,"Carnegie Vanguard High School&rsquo;s curriculum consists of Advanced Placement and pre-AP courses, as well as honors electives. Carnegie students generally take at least 10 AP courses before they graduate. Students at Carnegie Vanguard High School consistently exceed state and national averages on SAT and ACT exams. Carnegie places a strong emphasis on community involvement and requires every student to complete 100 hours of community service prior to graduation.",Houston,TX,98.8,99.698,841,81.0,22.0,99.0,77.19499496
32,BASIS Scottsdale,"BASIS Scottsdale is a charter school that serves fourth through 12th graders.&nbsp;It&#39;s part of a public charter school system with locations across the country. In or before 10th grade, BASIS Scottsdale students begin taking Advanced Placement courses. In their senior year, qualified students may take BASIS Capstone courses, set up to be equivalent to 200 or 300 level college classes. These seniors may produce an off-campus research project during their last trimester. BASIS Scottsdale offers more than 70 extracurricular activities that include sports teams, honor societies and clubs.&nbsp;",Scottsdale,AZ,,100.0,297,,,,92.3746142
33,BASIS Tucson North,"BASIS Tucson North is a charter school that serves fifth through 12th graders. It&#39;s the flagship high school in a public charter school system with locations across the country. Students at BASIS Tucson North are required to start taking Advanced Placement classes and exams in ninth grade. By senior year, students can participate in the AP Capstone program or the charter school network&#39;s own senior program. Students in BASIS&rsquo; senior program take seminar-style classes for two-thirds of the year and can propose an off-campus project for the last trimester. The school offers a range of activities, including 3-D printing club, choir and basketball.",Tucson,AZ,,100.0,247,,,,93.16587117
34,BASIS Ahwatukee,BASIS Ahwatukee is ranked fifth within Arizona. Students have the opportunity to take Advanced Placement&#174,Phoenix,AZ,,100.0,169,,,,85.3277439
35,Northside College Preparatory High School,"Northside College Preparatory High School&#39;s curriculum focuses on in-depth study of topics such as physics, constitutional law and computer science. Students can also choose from several language programs and a range of clubs and extracurricular activities. Most classes at Northside College Preparatory High School are honors or Advanced Placement level, and students can participate in study abroad programs to enhance their learning.",Chicago,IL,99.2,91.761,1040,92.0,15.0,91.0,74.82412399
36,High School Math Science and Engineering at CCNY,"High School Math Science and Engineering at CCNY is ranked third within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at High School Math Science and Engineering at CCNY is 100%. The total minority enrollment is 69%, and 39% of students are economically disadvantaged. High School Math Science and Engineering at CCNY is 1 of 533 high schools in the New York City Public Schools.",New York,NY,99.0,100.0,555,99.0,17.0,100.0,73.70073763
37,Bronx High School of Science,"Bronx High School of Science is ranked fourth within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Bronx High School of Science is 95%. The total minority enrollment is 79%, and 52% of students are economically disadvantaged. Bronx High School of Science is 1 of 533 high schools in the New York City Public Schools.",Bronx,NY,99.0,92.784,2951,100.0,21.0,100.0,87.08833588
38,Liberal Arts and Science Academy (LASA),"Liberal Arts and Science Academy is a public high school where prospective students compete for admission or are recruited by the school, and are evaluated on their test scores, teacher recommendations and prior achievements. LASA&#39;s advanced, rigorous curriculum includes 30 Advanced Placement courses and 121 honors courses. The school&#39;s classes are designed to be more challenging than what the state and district require. LASA offers signature courses, which are collaborative group classes where students research, design, implement and present projects in various science and humanities subjects. LASA students can participate in a variety of sports, including football, volleyball, basketball, wrestling, golf, soccer, swimming, baseball and softball.&nbsp;",Austin,TX,99.7,98.976,1432,65.0,18.0,99.0,84.34636474
39,California Academy of Mathematics and Science,"California Academy of Mathematics and Science is ranked fifth within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at California Academy of Mathematics and Science is 100%. The total minority enrollment is 95%, and 30% of students are economically disadvantaged. California Academy of Mathematics and Science is 1 of 15 high schools in the Long Beach Unified School District.",Carson,CA,96.9,93.944,672,91.0,27.0,99.0,70.00483092
40,International School of Beaverton,"International School of Beaverton offers the International Baccalaureate Middle Years and Diploma programs. The school brings in international visitors to expose students to other cultures, and every student studies a foreign language &mdash; Mandarin, Japanese or Spanish. Students at the International School of Beaverton complete a required number of community service hours. Extracurricular activities include Model United Nations and&nbsp;engineering club. After-school athletics are also available.",Beaverton,OR,98.95,94.367,431,71.0,22.0,82.0,
41,Millennium 6-12 Collegiate Academy,"Millennium 6-12 Collegiate Academy is ranked second within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Millennium 6-12 Collegiate Academy is 100%. The total minority enrollment is 90%, and 61% of students are economically disadvantaged. Millennium 6-12 Collegiate Academy is 1 of 75 high schools in the Broward County Public Schools.",Tamarac,FL,100.0,97.692,243,80.0,20.0,89.0,57.37854511
42,Edison Academy Magnet School,"Edison Academy Magnet School is ranked second within New Jersey. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Edison Academy Magnet School is 98%. The total minority enrollment is 94%, and 2% of students are economically disadvantaged. Edison Academy Magnet School is 1 of 5 high schools in the Middlesex County Vocational and Technical School District.",Edison,NJ,100.0,93.75,175,100.0,16.0,,94.01345558
43,Westshore Junior/Senior High School,"Westshore Junior/Senior High School is ranked third within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Westshore Junior/Senior High School is 100%. The total minority enrollment is 33%, and 12% of students are economically disadvantaged. Westshore Junior/Senior High School is 1 of 28 high schools in the Brevard Public Schools.",Melbourne,FL,100.0,95.033,579,96.0,18.0,98.0,81.89819599
44,City High Middle School,"City High Middle School is ranked third within Michigan. Students have the opportunity to take International Baccalaureate coursework and exams. The IB participation rate at City High Middle School is 98%. The total minority enrollment is 48%, and 40% of students are economically disadvantaged. City High Middle School is 1 of 17 high schools in the Grand Rapids Public Schools.",Grand Rapids,MI,100.0,94.039,559,66.0,23.0,90.0,
45,BASIS Phoenix,"BASIS Phoenix is a charter school that serves fifth through 12th graders.&nbsp;It&#39;s part of a public charter school system with locations across the country. In or before 10th grade, BASIS Phoenix students begin taking Advanced Placement courses. In their senior year, qualified students may take BASIS Capstone courses, set up to be equivalent to 200 or 300 level college classes. These seniors may produce an off-campus research project during their last trimester. Extracurricular activities include basketball, volleyball, anime and Science Bowl.&nbsp;",Phoenix,AZ,97.7,100.0,278,,,100.0,86.98717949
46,Downingtown STEM Academy,"Downingtown STEM Academy is ranked second within Pennsylvania. Students have the opportunity to take International Baccalaureate coursework and exams. The IB participation rate at Downingtown STEM Academy is 99%. The total minority enrollment is 50%, and 6% of students are economically disadvantaged. Downingtown STEM Academy is 1 of 3 high schools in the Downingtown Area School District.",Downingtown,PA,99.48187,97.957,924,100.0,14.0,99.0,
47,Harbor Teacher Preparation Academy,Harbor Teacher Preparation Academy is ranked sixth within California. Students have the opportunity to take Advanced Placement&#174,Wilmington,CA,100.0,90.238,449,79.0,24.0,98.0,59.12493927
48,Hume Fogg Magnet High School,"Hume-Fogg Academic Magnet High School offers a curriculum heavy in honors and Advanced Placement courses. All students complete pre-calculus and physics, and are encouraged to combine their academics with a foreign language and other arts courses. In addition to classroom learning, Hume-Fogg Academic Magnet High School offers an internship program and community service opportunities for students at all grade levels. The Hume-Fogg Parent Association allows families to contribute to their students&rsquo; education via fundraising and volunteering.",Nashville,TN,,96.145,898,27.0,20.0,87.0,63.46802793
49,Haynes Academy School for Advanced Studies,"Haynes Academy School for Advanced Studies is ranked first within Louisiana. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Haynes Academy School for Advanced Studies is 100%. The total minority enrollment is 42%, and 23% of students are economically disadvantaged. Haynes Academy School for Advanced Studies is 1 of 19 high schools in the Jefferson Parish Schools.",Metairie,LA,95.0,86.364,505,99.0,28.0,95.0,67.88879043
50,Staten Island Technical High School,"Staten Island Technical High School is ranked fifth within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Staten Island Technical High School is 100%. The total minority enrollment is 71%, and 49% of students are economically disadvantaged. Staten Island Technical High School is 1 of 533 high schools in the New York City Public Schools.",Staten Island,NY,100.0,99.091,1374,99.0,17.0,,81.58326657
51,Archimedean Upper Conservatory Charter School,"Archimedean Upper Conservatory Charter School is ranked fourth within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Archimedean Upper Conservatory Charter School is 100%. The total minority enrollment is 91%, and 3% of students are economically disadvantaged. Archimedean Upper Conservatory Charter School is 1 of 138 high schools in the Miami-Dade County Public Schools.",Miami,FL,100.0,97.0,306,92.0,13.0,88.0,73.9936682
52,Young Magnet High School,Young Magnet High School is ranked third within Illinois. Students have the opportunity to take Advanced Placement&#174,Chicago,IL,98.9,85.521,1898,91.0,17.0,88.0,71.16308202
53,Jones College Prep High School,Jones College Prep High School is ranked fourth within Illinois. Students have the opportunity to take Advanced Placement&#174,Chicago,IL,96.4,90.733,1941,90.0,17.0,91.0,76.46455936
54,Brooklyn Latin School,"Brooklyn Latin School is ranked sixth within New York. Students have the opportunity to take International Baccalaureate coursework and exams. The IB participation rate at Brooklyn Latin School is 99%. The total minority enrollment is 81%, and 59% of students are economically disadvantaged. Brooklyn Latin School is 1 of 533 high schools in the New York City Public Schools.",Brooklyn,NY,99.0,96.21,800,98.0,16.0,100.0,
55,Stanton College Preparatory School,"The Stanton College Preparatory School offers a rigorous curriculum of honors, Advanced Placement and International Baccalaureate courses. Students can earn college credit for courses taken through partnerships with the University of North Florida and Florida State College at Jacksonville. The majority of Stanton College Preparatory School graduates enter the State University System of Florida. Parents can get involved by volunteering and fundraising for the school.",Jacksonville,FL,99.39394,100.0,1363,87.0,17.0,94.0,65.4646489
56,BASIS Mesa,BASIS Mesa is ranked seventh within Arizona. Students have the opportunity to take Advanced Placement&#174,Mesa,AZ,,100.0,151,,,,88.88157895
57,Edgewood Jr/Sr High School,"Edgewood Junior/Senior High School offers an accelerated curriculum via dual enrollment and Advanced Placement courses. Every student at Edgewood Junior/Senior High School is assigned a mentor, and students earn a Diploma of Distinction through advanced course work. Students and parents are required to complete a minimum number of volunteer or service hours each year, and all students must keep a competitive career and college portfolio.",Merritt Island,FL,100.0,94.421,580,94.0,19.0,97.0,71.00263112
58,Middlesex County Academy for Allied Health,"Middlesex County Academy for Allied Health is ranked third within New Jersey. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Middlesex County Academy for Allied Health is 100%. The total minority enrollment is 93%, and 4% of students are economically disadvantaged. Middlesex County Academy for Allied Health is 1 of 5 high schools in the Middlesex County Vocational and Technical School District.",Woodbridge,NJ,100.0,97.581,286,83.0,14.0,100.0,83.69798142
59,D'Evelyn Junior/Senior High School,"D'Evelyn Junior/Senior High School is ranked first within Colorado. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at D'Evelyn Junior/Senior High School is 92%. The total minority enrollment is 35%, and 12% of students are economically disadvantaged. D'Evelyn Junior/Senior High School is 1 of 36 high schools in the Jefferson County School District No. R-1.",Denver,CO,98.7013,88.449,597,91.0,21.0,97.0,84.89150695
60,Lane Technical High School,Lane Technical High School is ranked fifth within Illinois. Students have the opportunity to take Advanced Placement&#174,Chicago,IL,98.4,90.496,4216,88.0,17.0,87.0,63.018518
61,Marine Academy of Science and Technology (MAST@FIU),"Marine Academy of Science and Technology (MAST@FIU) is ranked seventh within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Marine Academy of Science and Technology (MAST@FIU) is 100%. The total minority enrollment is 70%, and 41% of students are economically disadvantaged. Marine Academy of Science and Technology (MAST@FIU) is 1 of 138 high schools in the Miami-Dade County Public Schools.",North Miami,FL,99.0,92.5,448,95.0,21.0,95.0,72.26497848
62,Bergen County Academies,"Bergen County Academies is ranked fourth within New Jersey. Students have the opportunity to take International Baccalaureate coursework and exams. The IB participation rate at Bergen County Academies is 97%. The total minority enrollment is 67%, and 6% of students are economically disadvantaged. Bergen County Academies is 1 of 3 high schools in the Bergen County Vocational Technical School District.",Hackensack,NJ,99.2,95.676,1116,96.0,12.0,99.0,88.29853456
63,Jose Marti Mast 6-12 Academy,"Jose Marti Mast 6-12 Academy is ranked eighth within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Jose Marti Mast 6-12 Academy is 100%. The total minority enrollment is 96%, and 51% of students are economically disadvantaged. Jose Marti Mast 6-12 Academy is 1 of 138 high schools in the Miami-Dade County Public Schools.",Hialeah,FL,100.0,95.122,432,88.0,21.0,93.0,60.86625436
64,BASIS San Antonio- Shavano Campus,BASIS San Antonio- Shavano Campus is ranked seventh within Texas. Students have the opportunity to take Advanced Placement&#174,San Antonio,TX,100.0,100.0,335,80.0,16.0,98.0,82.76629244
65,International School,"The International School&rsquo;s integrated curriculum starts in sixth grade and requires seven years of core subjects such as international studies, humanities, science, math, French, physical education and fine arts. The International School requires each student to complete a weeklong session outside the classroom. This &ldquo;focus week&rdquo; can range from cooking classes to disaster preparedness courses or environmental trips to the Cascade Mountains. Advanced Placement courses are offered, and seniors must complete a senior project, which encompasses extensive learning in a specific topic, a mentor, a research paper, community service and an assessment by a panel of judges.&nbsp;",Bellevue,WA,,97.794,315,81.0,19.0,,73.78410268
66,Haas Hall Academy,"Haas Hall Academy is ranked second within Arkansas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Haas Hall Academy is 99%. The total minority enrollment is 35%, and 5% of students are economically disadvantaged. Haas Hall Academy is 1 of 4 high schools in the Haas Hall Academy.",Fayetteville,AR,95.0,86.301,289,78.0,13.0,96.0,58.32752871
67,Brooklyn Technical High School,"Brooklyn Technical High School is ranked seventh within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Brooklyn Technical High School is 98%. The total minority enrollment is 77%, and 59% of students are economically disadvantaged. Brooklyn Technical High School is 1 of 533 high schools in the New York City Public Schools.",Brooklyn,NY,96.0,95.175,5940,99.0,20.0,97.0,82.75056171
68,School Without Walls High School,School Without Walls High School is ranked first within District of Columbia. Students have the opportunity to take Advanced Placement&#174,Washington,DC,99.0,98.966,602,,16.0,94.0,66.4367057
69,Haas Hall Academy at the Lane,"Haas Hall Academy at the Lane is ranked third within Arkansas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Haas Hall Academy at the Lane is 100%. The total minority enrollment is 36%, and 15% of students are economically disadvantaged. Haas Hall Academy at the Lane is 1 of 4 high schools in the Haas Hall Academy.",Rogers,AR,88.89,92.969,167,81.0,12.0,92.0,49.01315789
70,DeBakey High School for Health Professions,"DeBakey High School for Health Professions is located on the Texas Medical Center campus, and students have access to research facilities and academic programs at the center. Graduates are eligible for the Houston Premedical Academy, an undergraduate program at the University of Houston designed specifically for DeBakey High School students. Those selected for the premedical academy receive provisional acceptance to the Baylor College of Medicine. DeBakey&rsquo;s Parent Teacher Association provides volunteers and sponsors school activities.",Houston,TX,99.0,84.615,916,69.0,17.0,99.0,73.14351333
71,Brownsville Early College High School,"Brownsville Early College High School is ranked ninth within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Brownsville Early College High School is 100%. The total minority enrollment is 99%, and 93% of students are economically disadvantaged. Brownsville Early College High School is 1 of 8 high schools in the Brownsville Independent School District.",Brownsville,TX,100.0,90.074,348,93.0,23.0,95.0,
72,Biotechnology High School,"The Biotechnology High School focuses on a collaborative learning experience that includes project-based learning, scholarly research and interactive partnerships. Students at the Biotechnology High School are required to complete a senior internship. Past internship placements include Rutgers University, Bristol-Myers Squibb and area biotech firms. Biotechnology High School offers an International Baccalaureate program, as well as courses in molecular and agricultural biotechnology, genetics and forensic analysis. The Parent Student Faculty Association engages parents in their child&rsquo;s education.",Freehold,NJ,100.0,98.448,317,89.0,12.0,100.0,89.3262987
73,Design and Architecture Senior High School,"Academic programs at Design and Architecture Senior High include fashion, entertainment tech, visual communications, fine art, architecture and industrial design. Students at DASH combine courses from their chosen programs with traditional math, science and language arts courses, offered with honors and AP options. Admittance to Design and Architecture Senior High requires a studio performance, interview, and a review of the portfolio and sketchbook. Parents can participate in the school&rsquo;s Parents, Teachers and Students Association.",Miami,FL,100.0,100.0,489,83.0,17.0,93.0,47.68228056
